post_id,post_date,is_published,email_sent_at,inbox_sent_at,type,audience,title,subtitle,podcast_url
187285047.design-spells,2026-02-06T06:59:00.000Z,true,,,newsletter,everyone,Design Spells: živý archiv kouzel v rozhraních,"Design Spells je sbírka mikro-interakcí a detailů uživatelského rozhraní, které dávají přednost potěšení před metrikami – a nabízejí designérům vzácný zdroj inspirace založený na emočním designu.",
186950166.white-space,2026-02-05T06:59:00.000Z,true,,,newsletter,everyone,Negativní prostor,"Záměrná absence obsahu, která strukturuje rozhraní, snižuje kognitivní zátěž a zvyšuje srozumitelnost, přístupnost a vnímanou kvalitu.",
186778841.george-miller,2026-02-04T06:59:13.512Z,true,,,newsletter,everyone,"George A. Miller a lidské limity, na nichž stojí použitelnost","Americký kognitivní psycholog, který ukázal, že lidská omezení nejsou překážkou návrhu, ale klíčem k pochopení a respektování lidského myšlení.",
186775656.110,,false,,,newsletter,everyone,,,
186670920.kpi,2026-02-03T06:59:17.082Z,true,,,newsletter,everyone,Klíčové ukazatele výkonnosti,"Ukazatel, který slouží k posouzení postupu směrem k cíli a k rozhodování o tom, co změnit, upřednostnit nebo ukončit.",
186560186.matomo,2026-01-30T06:59:00.000Z,true,,,newsletter,everyone,Matomo – webová analytika,"Open-source analytická platforma, která klade důraz na vlastnictví dat a ochranu soukromí.",
186554750.douglas-engelbart,2026-01-29T06:59:00.000Z,true,,,newsletter,everyone,Douglas Engelbart: vizionář s myší,"Americký inženýr, který neusiloval o vynalézání jednotlivých zařízení, ale o systematické posílení lidské schopnosti myslet, spolupracovat a řešit složité problémy pomocí počítačů.",
186550783.blank-page-syndrome,2026-01-28T06:59:00.000Z,true,,,newsletter,everyone,Syndrom prázdné stránky,"Opakované selhání zahájení práce, při němž nadměrná volnost, předčasné hodnocení a vnímaná důležitost brání prvnímu smysluplnému kroku.",
186407566.core-web-vitals,2026-01-27T06:59:00.000Z,true,,,newsletter,everyone,Core Web Vitals,"Standard výkonu webu založený na reálné uživatelské zkušenosti. Nehodnotí abstraktní rychlost, ale konkrétní problémy: pozdní zobrazení obsahu, pomalé reakce rozhraní a nestabilní rozvržení stránky.",
186177815.n8n,2026-01-23T06:59:00.000Z,true,,,newsletter,everyone,"N8n je no-code automatizace, kterou můžete vlastnit","Platforma pro automatizaci, která spojuje vizuální tvorbu bez programování s kontrolou na úrovni vývojářských nástrojů a je určena pro automatizaci, již lze dlouhodobě vlastnit a rozvíjet.",
